step,value
0,3.132015e+01
1,3.095951e+01
2,3.055507e+01
3,3.023608e+01
4,3.001685e+01
5,2.972937e+01
6,2.954114e+01
7,2.935693e+01
8,2.945710e+01
9,2.924269e+01
10,2.915635e+01
11,2.892733e+01
12,2.909603e+01
13,2.864904e+01
14,2.828081e+01
15,2.778542e+01
16,2.816724e+01
17,2.727927e+01
18,2.891163e+01
19,2.744129e+01
20,2.873557e+01
21,2.884612e+01
22,2.897893e+01
23,2.856510e+01
24,2.813183e+01
25,2.876458e+01
26,2.848921e+01
27,2.953370e+01
28,2.907147e+01
29,2.903105e+01
30,2.441338e+01
31,2.153909e+01
32,1.972162e+01
33,1.846476e+01
34,1.921486e+01
35,2.059247e+01
36,2.095659e+01
37,1.759373e+01
38,2.882118e+01
39,2.542903e+01
40,2.182010e+01
41,3.218752e+01
42,2.867483e+01
43,2.766871e+01
44,3.087696e+01
45,3.067069e+01
46,2.818973e+01
47,3.227057e+01
48,2.746455e+01
49,3.074485e+01
50,5.971680e-01
51,5.712891e-01
52,5.366211e-01
53,4.702148e-01
54,4.416504e-01
55,4.143066e-01
56,3.867188e-01
57,3.635254e-01
58,3.295898e-01
59,3.105469e-01
60,2.814941e-01
61,2.622070e-01
62,2.395020e-01
63,2.283936e-01
64,2.186279e-01
65,2.064209e-01
66,1.994629e-01
67,1.958008e-01
68,1.846924e-01
69,1.745605e-01
70,1.719971e-01
71,1.654053e-01
72,1.625977e-01
73,1.564941e-01
74,1.555176e-01
75,1.484375e-01
76,1.390381e-01
77,1.406250e-01
78,1.378174e-01
79,1.353760e-01
80,1.347656e-01
81,1.342773e-01
82,1.342773e-01
83,1.337891e-01
84,1.221924e-01
85,1.203003e-01
86,1.160889e-01
87,1.170044e-01
88,1.171875e-01
89,1.196289e-01
90,1.187134e-01
91,1.216431e-01
92,1.209106e-01
93,1.210327e-01
94,1.212158e-01
95,1.215210e-01
96,1.174316e-01
97,1.190796e-01
98,1.183472e-01
99,1.162109e-01
